Organization,Event,year,start date,end date,Location,city,state,Notes,Cite,SourceLink,AdditionalCitations
New England Gallaudet Association,Fifth Convention of New England Gallaudet Association,1862,1862-09-10,1862-09-12,City Hall,Portland,Maine,"Gallaudet gave opening prayer, acted as interpreter. Syle there. Gallaudet gave service at St. Stephen's Church.",The Gallaudet Guide and Deaf Mutes Companion 3.9 p 1,https://archive.org/details/THEGALLAUDETGUIDEANDDEAFMUTESCOMPANIONVOL3NO9,
New England Gallaudet Association,Sixth Convention of New England Gallaudet Association,1864,1864-08-10,Unknown,Unknown,Providence,Rhode Island,,The Gallaudet Guide and Deaf Mutes Companion 3.9 p 1,https://archive.org/details/THEGALLAUDETGUIDEANDDEAFMUTESCOMPANIONVOL3NO9,
Empire State Association of Deaf-Mutes,First Biennial Convention of the Empire State Association of Deaf-Mutes,1865,1865-08-30,1865-08-30,Whiting's Hall,Syracuse,New York,Gallaudet opened meeting with prayer. Service at St. Paul's Church interpreted by Gallaudet and Pennell.,National Deaf Mute Gazette 1.2 1867-02 p 5,https://archive.org/details/NATIONALDEAFMUTEGAZETTEVOL1NO2/page/n4,"Also in The New York Herald,  1865-08-07 p 8"
New England Gallaudet Association,Seventh Convention of New England Gallaudet Association,1866,1866-08-22,1866-08-24,American School for the Deaf,Hartford,Connecticut,Gallaudet interpreted at 50th anniversary and offered service at Trinity Church.,"National Deaf Mute Gazette, 1.1, 1867-01",https://archive.org/details/NATIONALDEAFMUTEGAZETTEVOL1NO1/page/n2,
Empire State Association of Deaf-Mutes,Second Biennial Convention of the Empire State Association of Deaf-Mutes,1867,1867-08-28,1867-08-30,New York Institution for the Deaf and Dumb,New York City,New York,"Gallaudet interpreted addresses, Clerc opening prayer, Turner, Fitzgerald. On third day service at St. Ann's Church",Annual Report NY Inst. 152-157,https://hdl.handle.net/2027/hvd.32044029961554?urlappend=%3Bseq=946,"Also described in National Deaf Mute Gazette, 1.10, pg 1-7"
New England Gallaudet Association,Eighth Convention of New England Gallaudet Association,1868,1868-08-26,1868-08-27,Town Hall,Brattleboro,Vermont,"Gallaudet held service, interpreted. Turner offered opening prayer.","National Deaf Mute Gazette, 2.21, 1868-09-01",https://archive.org/details/NATIONALDEAFMUTEGAZETTEVOL2NO21/page/n2,
Convention of American Instructors of the Deaf,Sixth Convention of American Instructors of the Deaf,1868,N/A,N/A,N/A,N/A,N/A,Convention not held. First Conference of Principals and Superintendents desginated as 6th Convention,,,
Conference of Principals of American Institutions for the Deaf and Dumb,First Conference of Principals of American Institutions for the Deaf and Dumb,1868,1868-05-12,1868-05-16,Gallaudet College,Washington,District of Columbia,A.k.a. sixth conference of CAID. Gallaudet attended as honorary member,"AADD 13.3, pg 137",,
Empire State Association of Deaf-Mutes,Third Biennial Convention of the Empire State Association of Deaf-Mutes,1869,1869-08-25,1869-08-26,Cornell University,Ithaca,New York,Gallaudet gave opening prayer. Gallaudet held service at St. John's Church,Deaf Mute's Friend 1.9 pg 1,https://archive.org/details/THEDEAFMUTESFRIENDVOL1NO9,
Convention of American Instructors of the Deaf,Seventh Convention of American Instructors of the Deaf,1870,1870-08-24,1870-08-26,Indiana Institution for the Deaf and Dumb,Indianapolis,Indiana,"Gallaudet, Gamage delegates. Gallaudet gave opening prayer. includes discussion of Religious Services for Deaf Mutes by Mulligan (Gallaudet comments and describes services in NY) pg 96-113","Proceedings, pg 5, 11",https://books.google.com/books?id=YSYDAAAAMAAJ&pg=PA1#v=onepage&q&f=false,
New England Gallaudet Association,Ninth Convention,1870,1870-09-07,1870-09-09,Unknown,Conford,New Hampshire,,AADD 15 p 191,https://hdl.handle.net/2027/umn.31951p00761129x?urlappend=%3Bseq=209,
Ohio Alumni Association,First Convention of the Ohio Deaf Mute Alumni Association,1870,1870-08-30,1870-08-31,Ohio Institution for the Deaf and Dumb,Columbus,Ohio,,"Forty Fourth Annual Report of the Board of Trustees and Officers of the Ohio Institution for the Education of the Deaf and Dumb, to the Governor of the State of Ohio, for the Year 1870, pg 23-26",https://books.google.com/books?id=4Es_AQAAMAAJ&pg=PA7#v=onepage&q&f=false,
Empire State Association of Deaf-Mutes,Fourth Biennial Convention of the Empire State Association of Deaf-Mutes,1871,1871-08-30,1871-09-01,State House,Albany,New York,"Gallaudet, Pennell, Clerc, Adams there. Gallaudet discussed proposal Home. SilentWorld 1.4 p 9 Adams there. Silent World 1.4 p 13",Silent World 1.4 p 5-6; 8.,"Look for New York State Radii for full report - Dates determined by: must take place between between Aug 27 and Sept 3rd Adams and Gallaudet held service -8-29 during convention. (Silent World 1.4 p 13), ",
Ohio Alumni Association,Second Convention of the Ohio Deaf Mute Alumni Association,1872,1872-08-28,1872-08-29,Ohio Institution for the Deaf and Dumb,Columbus,Ohio,,,,
New England Gallaudet Association,Tenth Convention,1872,1872-01-01,1872-01-02,Unknown,Boston,Massachusetts,,Silent World 1.4 p 13,,
